year	month
1859	8
1862	12
1870	10
1870	10
1872	2
1872	8
1877	5
1880	8
1882	4
1882	11
1892	2
1898	9
1903	11
1905	3
1908	9
1909	9
1915	5
1915	6
1916	8
1917	8
1918	3
1918	3
1919	2
1919	10
1919	8
1920	3
1921	5
1924	3
1926	1
1926	1
1926	3
1926	4
1926	10
1927	2
1927	4
1927	7
1927	10
1928	7
1932	5
1933	9
1936	6
1936	6
1937	2
1937	4
1937	8
1938	1
1940	3
1940	4
1941	1
1941	7
1941	9
1942	6
1943	9
1944	10
1944	12
1946	2
1946	3
1946	4
1946	7
1947	3
1947	7
1947	8
1948	3
1949	1
1950	2
1950	8
1951	7
1951	9
1956	2
1956	2
1956	3
1956	3
1956	4
1957	1
1957	3
1957	4
1957	9
1957	9
1957	9
1957	11
1958	2
1959	3
1959	7
1959	11
1960	4
1960	10
1960	11
1961	10
1962	3
1967	5
1969	5
1972	8
1974	7
1981	4
1988	5
1989	3
1991	6
2001	7
2003	10
